ID,Date,Arrest,Community Area,Latitude,Longitude
9831977,10/25/2014 3:30,FALSE,14,41.96159828,-87.72065946
9831657,10/24/2014 15:30,FALSE,34,41.85051119,-87.63861916
9811843,8/5/2014 0:00,FALSE,19,41.92019112,-87.78305011
9748912,8/15/2014 22:00,FALSE,76,41.9724445,-87.84637773
9721131,8/1/2014 19:30,TRUE,24,41.90114994,-87.68347981
9714124,7/27/2014 3:00,FALSE,39,41.8119195,-87.60379971
9712781,7/22/2014 12:00,TRUE,32,41.86998273,-87.63337106
9712572,7/26/2014 19:00,TRUE,6,41.93630121,-87.64815614
9675602,6/29/2014 22:00,FALSE,16,41.95550274,-87.71746053
9673271,6/28/2014 23:45,FALSE,23,41.89898368,-87.73477931
9835735,10/11/2014 18:00,FALSE,17,41.94768186,-87.77829965
9828564,10/22/2014 22:00,FALSE,24,41.90334868,-87.67252541
9833911,3/1/2014 17:00,FALSE,8,41.90085149,-87.62824041
9821337,10/16/2014 22:00,FALSE,14,41.97489432,-87.73793782
9820515,10/15/2014 7:30,FALSE,43,41.75281619,-87.55210278
9819610,10/15/2014 20:00,FALSE,67,41.78889702,-87.67309344
9821681,10/12/2014 18:30,FALSE,25,41.8822887,-87.76912721
